# Data file Created: 2/16/2016 6:55:25 AM
# Master Thesis: Work Distribution of a Heterogeneous Library Staff - A Personnel Task Scheduling Problem
# Master Students: Claes Arvidson and Emelie Karlsson


### Sets ###
set D := 1..5; #Set of days in a week
set W := 1..4; #Set of weeks
set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39; #Set of staff
set S[1..5] := 1 2 3 4; #Set of out shifts in a day
#set S[6..7] := 1; #Set of out shifts in a day
set J[1..5] := Exp Info PL; #Set of total outer tasks at a shift S, Exp, Info + plocklista


### Parameters ###
param :	skill	:=
2		1
3		1
5		1
7		1
8		1
9		1
12		1
13		1
14		1
16		1
17		1
19		1
21		1
23		1
24		1
25		1
27		1
31		1
32		1
36		1
37		1
38		1
1		0
4		0
6		0
10		0
11		0
15		0
18		0
20		0
22		0
26		0
28		0
29		0
30		0
33		0
34		0
35		0
39		0;
param	task_worker_demand	:=
	1 1 1 2
	1 1 2 2
	1 1 3 1
	1 2 1 3
	1 2 2 3
	1 2 3 1
	1 3 1 3
	1 3 2 3
	1 3 3 1
	1 4 1 2
	1 4 2 3
	1 4 3 0
	2 1 1 2
	2 1 2 2
	2 1 3 1
	2 2 1 3
	2 2 2 3
	2 2 3 1
	2 3 1 3
	2 3 2 3
	2 3 3 1
	2 4 1 2
	2 4 2 3
	2 4 3 0
	3 1 1 2
	3 1 2 2
	3 1 3 1
	3 2 1 3
	3 2 2 3
	3 2 3 1
	3 3 1 3
	3 3 2 3
	3 3 3 1
	3 4 1 2
	3 4 2 3
	3 4 3 0
	4 1 1 2
	4 1 2 2
	4 1 3 1
	4 2 1 3
	4 2 2 3
	4 2 3 1
	4 3 1 3
	4 3 2 3
	4 3 3 1
	4 4 1 2
	4 4 2 3
	4 4 3 0
	5 1 1 2
	5 1 2 2
	5 1 3 1
	5 2 1 3
	5 2 2 3
	5 2 3 1
	5 3 1 3
	5 3 2 3
	5 3 3 1
	5 4 1 2
	5 4 2 2
	5 4 3 0;
param	avail	:=
	2 1 1 1 1
	2 1 1 2 1
	2 1 1 3 1
	2 1 1 4 0
	2 1 2 1 1
	2 1 2 2 1
	2 1 2 3 1
	2 1 2 4 1
	2 1 3 1 1
	2 1 3 2 1
	2 1 3 3 1
	2 1 3 4 0
	2 1 4 1 1
	2 1 4 2 1
	2 1 4 3 1
	2 1 4 4 0
	2 1 5 1 1
	2 1 5 2 1
	2 1 5 3 1
	2 1 5 4 0
	2 2 1 1 1
	2 2 1 2 1
	2 2 1 3 1
	2 2 1 4 0
	2 2 2 1 1
	2 2 2 2 1
	2 2 2 3 1
	2 2 2 4 1
	2 2 3 1 1
	2 2 3 2 1
	2 2 3 3 1
	2 2 3 4 0
	2 2 4 1 1
	2 2 4 2 1
	2 2 4 3 1
	2 2 4 4 0
	2 2 5 1 1
	2 2 5 2 1
	2 2 5 3 1
	2 2 5 4 0
	2 3 1 1 1
	2 3 1 2 1
	2 3 1 3 1
	2 3 1 4 0
	2 3 2 1 1
	2 3 2 2 1
	2 3 2 3 1
	2 3 2 4 1
	2 3 3 1 1
	2 3 3 2 1
	2 3 3 3 1
	2 3 3 4 0
	2 3 4 1 1
	2 3 4 2 1
	2 3 4 3 1
	2 3 4 4 0
	2 3 5 1 1
	2 3 5 2 1
	2 3 5 3 1
	2 3 5 4 0
	2 4 1 1 1
	2 4 1 2 1
	2 4 1 3 1
	2 4 1 4 0
	2 4 2 1 1
	2 4 2 2 1
	2 4 2 3 1
	2 4 2 4 1
	2 4 3 1 1
	2 4 3 2 1
	2 4 3 3 1
	2 4 3 4 0
	2 4 4 1 1
	2 4 4 2 1
	2 4 4 3 1
	2 4 4 4 0
	2 4 5 1 1
	2 4 5 2 1
	2 4 5 3 1
